No.,"(x,y)",1,2,3
204,"2,6",-45,-59,-59
205,"2,6",-48,-59,-56
206,"2,6",-48,-62,-58
207,"2,6",-49,-61,-56
208,"2,6",-47,-61,-61
209,"2,6",-47,-61,-58
210,"2,6",-48,-61,-56
212,"4,7",-50,-61,-53
213,"4,7",-45,-61,-54
214,"4,7",-49,-60,-55
215,"4,7",-49,-60,-52
216,"4,7",-48,-64,-55
217,"4,7",-48,-63,-55
218,"4,7",-44,-64,-51
219,"4,7",-50,-63,-52
220,"4,7",-52,-63,-54
221,"4,7",-51,-62,-51
222,"4,7",-52,-65,-52
223,"4,7",-53,-63,-52
224,"3,8",-58,-58,-52
225,"3,8",-58,-58,-51
226,"3,8",-57,-58,-51
227,"3,8",-57,-57,-51
228,"3,8",-57,-62,-51
229,"3,8",-56,-62,-51
230,"3,8",-58,-59,-50
231,"3,8",-58,-59,-51
232,"3,8",-59,-59,-52
233,"3,8",-59,-59,-52
234,"3,8",-57,-57,-50
237,"1,9",-55,-61,-51
238,"1,9",-51,-55,-51
239,"1,9",-60,-61,-58
240,"1,9",-59,-61,-56
241,"1,9",-58,-61,-54
242,"1,9",-55,-57,-54
243,"1,9",-59,-63,-56
244,"1,9",-54,-59,-55
245,"1,9",-54,-59,-52
246,"1,9",-56,-59,-48
247,"1,9",-54,-59,-49
248,"1,9",-54,-59,-49
249,"4, 9",-61,-63,-55
250,"4, 9",-61,-58,-50
251,"4, 9",-60,-58,-55
252,"4, 9",-62,-58,-52
253,"4, 9",-59,-58,-52
255,"4, 9",-66,-61,-50
256,"4, 9",-60,-64,-51
257,"4, 9",-61,-63,-56
258,"4, 9",-61,-63,-52
259,"4, 9",-61,-63,-52
260,"4, 9",-65,-64,-51
261,"4, 9",-63,-64,-51
262,"3,10",-50,-72,-38
263,"3,10",-57,-60,-43
264,"3,10",-57,-62,-42
265,"3,10",-53,-60,-45
266,"3,10",-50,-72,-42
267,"3,10",-59,-60,-42
268,"3,10",-51,-61,-44
269,"3,10",-49,-60,-47
270,"3,10",-49,-67,-45
271,"3,10",-52,-65,-44
272,"3,10",-54,-61,-42
